,AHRI Certified Reference Number,Model Status,Manufacturer,Model Number,Indoor Unit Model Number,AHRI Type,unit cooling BTUH,Equipment EER,Equipment SEER/IEER,Full Load Indoor Coil Air Quantity (scfm)
67,201990305,Active,daikin,MPSH10DYC*****A,,SPY-A,114000.0,11.2,14.8,3480.0
68,201990306,Active,daikin,MPSH10DYD*****A,,SPY-A,114000.0,11.2,14.8,3480.0
69,201990307,Active,daikin,MPS007DGC*****A,,SPY-A,85000.0,11.0,12.7,3175.0
70,201990308,Active,daikin,MPS007DGD*****A,,SPY-A,85000.0,11.0,12.7,3175.0
71,201990309,Active,daikin,MPS007DGY*****A,,SPY-A,85000.0,11.0,12.7,3175.0
72,201990310,Active,daikin,MPS008DGC*****A,,SPY-A,96000.0,11.0,12.7,3200.0
73,201990311,Active,daikin,MPS008DGD*****A,,SPY-A,96000.0,11.0,12.7,3200.0
74,201990312,Active,daikin,MPS008DGY*****A,,SPY-A,96000.0,11.0,12.7,3200.0
75,201990313,Active,daikin,MPS010DGC*****A,,SPY-A,114000.0,11.0,12.7,3480.0
76,201990314,Active,daikin,MPS010DGD*****A,,SPY-A,114000.0,11.0,12.7,3480.0
77,201990315,Active,daikin,MPS010DGY*****A,,SPY-A,114000.0,11.0,12.7,3480.0
78,201990316,Active,daikin,MPSA10DYY*****A,,SPY-A,114000.0,11.2,12.9,3480.0
79,201990317,Active,daikin,MPSA12DYC*****A,,SPY-A,142000.0,11.0,12.4,4150.0
80,201990318,Active,daikin,MPSA12DYD*****A,,SPY-A,142000.0,11.0,12.4,4150.0
81,201990319,Active,daikin,MPSA12DYD*****A,,SPY-A,142000.0,11.0,12.4,4150.0
82,201990320,Active,daikin,MPSH12DYC*****A,,SPY-A,142000.0,11.0,14.2,4150.0
83,201990321,Active,daikin,MPSH12DYD*****A,,SPY-A,142000.0,11.0,14.2,4150.0
84,201990322,Active,daikin,MPSA07DGC*****A,,SPY-A,85000.0,11.0,12.7,3175.0
85,201990323,Active,daikin,MPSA07DGD*****A,,SPY-A,85000.0,11.0,12.7,3175.0
86,201990324,Active,daikin,MPSA07DGY*****A,,SPY-A,85000.0,11.0,12.7,3175.0
87,201990325,Active,daikin,MPSA08DGC*****A,,SPY-A,96000.0,11.0,12.7,3225.0
88,201990326,Active,daikin,MPSA08DGD*****A,,SPY-A,96000.0,11.0,12.7,3225.0
89,201990327,Active,daikin,MPSA08DGY*****A,,SPY-A,96000.0,11.0,12.7,3225.0
90,201990328,Active,daikin,MPSA10DGC*****A,,SPY-A,114000.0,11.0,12.7,3480.0
91,201990329,Active,daikin,MPSA10DGD*****A,,SPY-A,114000.0,11.0,12.7,3480.0
92,201990330,Active,daikin,MPSA10DGY*****A,,SPY-A,114000.0,11.0,12.7,3480.0
93,201990331,Active,daikin,MPSA12DGC*****A,,SPY-A,142000.0,10.8,12.2,4150.0
94,201990332,Active,daikin,MPSA12DGD*****A,,SPY-A,142000.0,10.8,12.2,4150.0
95,201990333,Active,daikin,MPSA12DGY*****A,,SPY-A,142000.0,10.8,12.2,4150.0
96,201990334,Active,daikin,MPSH07DGC*****A,,SPY-A,85000.0,11.0,14.6,3175.0
97,201990335,Active,daikin,MPSH07DGD*****A,,SPY-A,85000.0,11.0,14.6,3175.0
98,201990336,Active,daikin,MPSH08DGC*****A,,SPY-A,96000.0,11.0,14.6,3225.0
99,201990337,Active,daikin,MPSH08DGD*****A,,SPY-A,96000.0,11.0,14.6,3225.0
100,201990338,Active,daikin,MPSH10DGC*****A,,SPY-A,114000.0,11.0,14.6,3480.0
101,201990339,Active,daikin,MPSH10DGD*****A,,SPY-A,114000.0,11.0,14.6,3480.0
102,201990340,Active,daikin,MPSH12DGC*****A,,SPY-A,142000.0,10.8,14.0,3750.0
103,201990341,Active,daikin,MPSH12DGD*****A,,SPY-A,142000.0,10.8,14.0,3750.0
104,201990342,Active,fujitsu,RACDZR090AY*****A,,SPY-A,85000.0,11.2,12.9,3175.0
105,201990343,Active,fujitsu,RACDZR102AY*****A,,SPY-A,96000.0,11.2,12.9,3275.0
106,201990344,Active,fujitsu,RACDZR120AY*****A,,SPY-A,114000.0,11.2,12.9,3480.0
107,201990345,Active,fujitsu,RACDZS090AY*****A,,SPY-A,85000.0,11.2,12.9,3175.0
108,201990346,Active,fujitsu,RACDZS102AY*****A,,SPY-A,96000.0,11.2,12.9,3225.0
109,201990347,Active,fujitsu,RGEDZR090AY*****A,,SPY-A,85000.0,11.0,12.7,3175.0
110,201990348,Active,fujitsu,RGEDZR102AY*****A,,SPY-A,96000.0,11.0,12.7,3200.0
111,201990349,Active,fujitsu,RGEDZR120AY*****A,,SPY-A,114000.0,11.0,12.7,3480.0
112,202054197,Active,daikin,DZ11TA1203A*,DAT12043A*,HRCU-A-CB,115000.0,11.0,13.5,3800.0
113,202054199,Active,daikin,DZ11TA1204A*,DAT12044A*,HRCU-A-CB,115000.0,11.0,13.5,3800.0
116,202064096,Active,trane,"EBC240A(3,4,W)E0****0",,SP-A,244000.0,10.0,11.6,7000.0
117,202064097,Active,trane,"EBC300A(3,4,W)E0****0",,SP-A,268000.0,10.0,11.6,8000.0
119,202064207,Active,trane,"GBC180A(3,4,W)E(H,L,M,X,Y,Z)****0",,SPY-A,176000.0,11.0,12.4,5250.0
122,202064210,Active,trane,"GBC180A(3,4,W)E(H,L,M,X,Y,Z)****7",,SPY-A,176000.0,11.0,13.2,5250.0
125,202064215,Active,american standard,"GBC180A(3,4,W)E(H,L,M,X,Y,Z)****0",,SPY-A,176000.0,11.0,12.4,5250.0
128,202064218,Active,american standard,"GBC180A(3,4,W)E(H,L,M,X,Y,Z)****7",,SPY-A,176000.0,11.0,13.2,5250.0
130,202064222,Active,trane,"GBC210A(3,4,W)E(H,L,M,X,Y,Z)****0",,SPY-A,206000.0,11.0,12.4,6125.0
133,202064225,Active,trane,"GBC210A(3,4,W)E(H,L,M,X,Y,Z)****7",,SPY-A,206000.0,11.0,13.2,6125.0
136,202064230,Active,american standard,"GBC210A(3,4,W)E(H,L,M,X,Y,Z)****0",,SPY-A,206000.0,11.0,12.4,6125.0
139,202064233,Active,american standard,"GBC210A(3,4,W)E(H,L,M,X,Y,Z)****7",,SPY-A,206000.0,11.0,13.2,6125.0
140,202064234,Active,trane,"EBC240A(3,4,W)E(N,P,R)****0",,SP-A,244000.0,10.0,11.6,7000.0
141,202064237,Active,trane,"GBC240A(3,4,W)E(H,L,M,X,Y,Z)****0",,SPY-A,244000.0,10.0,11.6,7000.0
142,202064238,Active,trane,"EBC240A(3,4,W)E0****7",,SP-A,244000.0,10.0,12.4,7000.0
143,202064239,Active,trane,"EBC240A(3,4,W)E(N,P,R)****7",,SP-A,244000.0,10.0,12.4,7000.0
144,202064240,Active,trane,"GBC240A(3,4,W)E(H,L,M,X,Y,Z)****7",,SPY-A,244000.0,10.0,12.4,7000.0
145,202064241,Active,american standard,"EBC240A(3,4,W)E0****0",,SP-A,244000.0,10.0,11.6,7000.0
146,202064242,Active,american standard,"EBC240A(3,4,W)E(N,P,R)****0",,SP-A,244000.0,10.0,11.6,7000.0
147,202064245,Active,american standard,"GBC240A(3,4,W)E(H,L,M,X,Y,Z)****0",,SPY-A,244000.0,10.0,11.6,7000.0
148,202064246,Active,american standard,"EBC240A(3,4,W)E0****7",,SP-A,244000.0,10.0,12.4,7000.0
149,202064247,Active,american standard,"EBC240A(3,4,W)E(N,P,R)****7",,SP-A,244000.0,10.0,12.4,7000.0
150,202064248,Active,american standard,"GBC240A(3,4,W)E(H,L,M,X,Y,Z)****7",,SPY-A,244000.0,10.0,12.4,7000.0
151,202064249,Active,trane,"EBC300A(3,4,W)E(N,P,R)****0",,SP-A,268000.0,10.0,11.6,8000.0
152,202064252,Active,trane,"GBC300A(3,4,W)E(H,L,M,X,Y,Z)****0",,SPY-A,268000.0,10.0,11.6,8000.0
153,202064253,Active,trane,"EBC300A(3,4,W)E0****7",,SP-A,268000.0,10.0,12.4,8000.0
154,202064254,Active,trane,"EBC300A(3,4,W)E(N,P,R)****7",,SP-A,268000.0,10.0,12.4,8000.0
155,202064255,Active,trane,"GBC300A(3,4,W)E(H,L,M,X,Y,Z)****7",,SPY-A,268000.0,10.0,12.4,8000.0
156,202064256,Active,american standard,"EBC300A(3,4,W)E0****0",,SP-A,268000.0,10.0,11.6,8000.0
157,202064257,Active,american standard,"EBC300A(3,4,W)E(N,P,R)****0",,SP-A,268000.0,10.0,11.6,8000.0
158,202064260,Active,american standard,"GBC300A(3,4,W)E(H,L,M,X,Y,Z)****0",,SPY-A,268000.0,10.0,11.6,8000.0
159,202064261,Active,american standard,"EBC300A(3,4,W)E0****7",,SP-A,268000.0,10.0,12.4,8000.0
160,202064262,Active,american standard,"EBC300A(3,4,W)E(N,P,R)****7",,SP-A,268000.0,10.0,12.4,8000.0
161,202064263,Active,american standard,"GBC300A(3,4,W)E(H,L,M,X,Y,Z)****7",,SPY-A,268000.0,10.0,12.4,8000.0
162,202066721,Active,daikin,DPS020AHMG4**-4,,SPY-A,246000.0,11.1,20.3,7315.0
163,202067509,Active,trane,"WSC090H(3,4,W)*0A",,HSP-A,90000.0,11.1,12.2,2625.0
164,202067510,Active,trane,"WSC092H(3,4,W)*0A",,HSP-A,93000.0,11.3,12.4,3000.0
165,202067534,Active,trane,"WSC090H(3,4,W)*(G,K,N)A",,HSP-A,90000.0,11.1,12.2,2625.0
166,202067535,Active,american standard,"WSC090H(3,4,W)*0A",,HSP-A,90000.0,11.1,12.2,2625.0
